mean,std,var,skew,kurtosis,rms_global,zcr_mean,zcr_std,amplitude_range,spec_centroid_mean,spec_centroid_std,spec_bandwidth_mean,spec_bandwidth_std,spec_contrast_mean,spec_contrast_std,spec_rolloff_mean,spec_rolloff_std,spec_flatness_mean,spec_flatness_std,chroma_mean,chroma_std,mfcc_1_mean,mfcc_2_mean,mfcc_3_mean,mfcc_4_mean,mfcc_5_mean,mfcc_6_mean,mfcc_7_mean,mfcc_8_mean,mfcc_9_mean,mfcc_10_mean,mfcc_11_mean,mfcc_12_mean,mfcc_13_mean,mfcc_14_mean,mfcc_15_mean,mfcc_16_mean,mfcc_17_mean,mfcc_18_mean,mfcc_19_mean,mfcc_20_mean,mfcc_21_mean,mfcc_22_mean,mfcc_23_mean,mfcc_24_mean,mfcc_25_mean,mfcc_26_mean,mfcc_27_mean,mfcc_28_mean,mfcc_29_mean,mfcc_30_mean,mfcc_31_mean,mfcc_32_mean,mfcc_33_mean,mfcc_34_mean,mfcc_35_mean,mfcc_36_mean,mfcc_37_mean,mfcc_38_mean,mfcc_39_mean,mfcc_40_mean,mfcc_1_std,mfcc_2_std,mfcc_3_std,mfcc_4_std,mfcc_5_std,mfcc_6_std,mfcc_7_std,mfcc_8_std,mfcc_9_std,mfcc_10_std,mfcc_11_std,mfcc_12_std,mfcc_13_std,mfcc_14_std,mfcc_15_std,mfcc_16_std,mfcc_17_std,mfcc_18_std,mfcc_19_std,mfcc_20_std,mfcc_21_std,mfcc_22_std,mfcc_23_std,mfcc_24_std,mfcc_25_std,mfcc_26_std,mfcc_27_std,mfcc_28_std,mfcc_29_std,mfcc_30_std,mfcc_31_std,mfcc_32_std,mfcc_33_std,mfcc_34_std,mfcc_35_std,mfcc_36_std,mfcc_37_std,mfcc_38_std,mfcc_39_std,mfcc_40_std,mfcc_delta_1_mean,mfcc_delta_2_mean,mfcc_delta_3_mean,mfcc_delta_4_mean,mfcc_delta_5_mean,mfcc_delta_6_mean,mfcc_delta_7_mean,mfcc_delta_8_mean,mfcc_delta_9_mean,mfcc_delta_10_mean,mfcc_delta_11_mean,mfcc_delta_12_mean,mfcc_delta_13_mean,mfcc_delta_14_mean,mfcc_delta_15_mean,mfcc_delta_16_mean,mfcc_delta_17_mean,mfcc_delta_18_mean,mfcc_delta_19_mean,mfcc_delta_20_mean,mfcc_delta_21_mean,mfcc_delta_22_mean,mfcc_delta_23_mean,mfcc_delta_24_mean,mfcc_delta_25_mean,mfcc_delta_26_mean,mfcc_delta_27_mean,mfcc_delta_28_mean,mfcc_delta_29_mean,mfcc_delta_30_mean,mfcc_delta_31_mean,mfcc_delta_32_mean,mfcc_delta_33_mean,mfcc_delta_34_mean,mfcc_delta_35_mean,mfcc_delta_36_mean,mfcc_delta_37_mean,mfcc_delta_38_mean,mfcc_delta_39_mean,mfcc_delta_40_mean,mfcc_delta_1_std,mfcc_delta_2_std,mfcc_delta_3_std,mfcc_delta_4_std,mfcc_delta_5_std,mfcc_delta_6_std,mfcc_delta_7_std,mfcc_delta_8_std,mfcc_delta_9_std,mfcc_delta_10_std,mfcc_delta_11_std,mfcc_delta_12_std,mfcc_delta_13_std,mfcc_delta_14_std,mfcc_delta_15_std,mfcc_delta_16_std,mfcc_delta_17_std,mfcc_delta_18_std,mfcc_delta_19_std,mfcc_delta_20_std,mfcc_delta_21_std,mfcc_delta_22_std,mfcc_delta_23_std,mfcc_delta_24_std,mfcc_delta_25_std,mfcc_delta_26_std,mfcc_delta_27_std,mfcc_delta_28_std,mfcc_delta_29_std,mfcc_delta_30_std,mfcc_delta_31_std,mfcc_delta_32_std,mfcc_delta_33_std,mfcc_delta_34_std,mfcc_delta_35_std,mfcc_delta_36_std,mfcc_delta_37_std,mfcc_delta_38_std,mfcc_delta_39_std,mfcc_delta_40_std,rms_mean,rms_std,onset_mean,onset_std,tempo,autocorr_lag,label
-0.004272747,0.10505647,0.011036863,-0.6934123216001595,9.942437232396196,0.10514332,0.02527115192819149,0.0244871626462695,1.8313978,600.2980502308907,451.4984230644661,967.4931890172575,634.6593279954595,20.63753827276143,11.215203373862112,1123.5871010638298,946.239985622287,0.27865744,0.44606256,0.3381221,0.34633532,-335.0148,92.02828,6.8036733,17.96001,7.263298,11.452547,7.199319,4.0785265,5.620225,3.180996,2.1193473,3.3117826,-1.0701867,5.0239563,-1.0667771,1.5119216,1.8189315,-1.5445068,-0.58879924,1.7888559,-2.514018,-0.62582314,-1.155694,1.0407002,-0.6772041,2.8793783,-0.9584649,2.837442,-0.6785951,0.8806846,-1.9868598,-0.9687061,-1.2412962,-0.58641887,-2.003966,2.0302398,0.42260954,2.7318816,1.9628679,4.89124,150.61842,60.587315,20.405718,18.145203,8.870348,9.223945,11.295081,7.745353,7.178978,5.071379,5.3433948,6.178769,5.9626036,6.8507853,6.6063557,5.4830127,5.424805,5.522907,4.6977215,5.469588,4.8899918,5.402151,5.511532,3.6385987,3.5065088,3.8797643,4.579775,4.1207914,3.4603722,3.5078082,3.9716845,3.1324618,4.7176037,3.1669393,4.043552,3.02233,3.990183,3.7970047,4.89523,6.3937287,-0.9190312,-0.822996,-0.27080333,-0.3267749,-0.21797802,-0.156538,-0.15073803,-0.09756922,-0.114986666,-0.042727612,-0.062851146,-0.13119602,-0.08981853,-0.09005616,-0.13604167,-0.08552103,-0.024232838,0.0045739766,-0.0067269346,0.007306525,-0.018444411,-0.057001684,-0.029518904,-0.04071431,-0.057127308,-0.030995034,-0.020478468,-0.0303692,-0.023301715,0.021231355,0.03704558,-0.00870433,-0.013846506,0.004117864,-0.031744517,-0.051842116,-0.044689707,-0.07459319,-0.060429044,-0.047635302,17.081154,5.265203,2.9160066,3.0419743,1.5819678,1.060574,1.988535,1.4270743,1.1682868,0.8527879,0.99017066,1.0642346,1.071189,1.0717279,1.1171155,0.91213214,1.1567166,1.0705546,0.87436724,1.1249422,0.9683392,1.1818013,0.9897693,0.7362876,0.60450846,0.64946723,0.9326381,0.80574495,0.6346504,0.59235376,0.79023284,0.46903768,0.69473004,0.55328155,0.7140223,0.5520213,0.66046566,0.78647864,0.93847436,1.0216954,0.07024397,0.07804806,1.1804384,2.4776137,110.29411764705883,1,naufal_Buka
-0.0013979239,0.14528246,0.021106994,-0.022106192304910594,8.075354663357256,0.1452892,0.03272523271276596,0.0317271694058531,1.7532399,656.6121496207547,499.05323698506635,877.8144213123011,547.917326322268,21.889846905143084,11.308320293078538,1212.184175531915,975.8456831918528,0.25683323,0.4351607,0.29842845,0.34253046,-301.63232,95.2022,0.71060926,15.133275,6.6438074,16.71453,8.97072,0.38170782,-0.4152823,5.0627365,-3.1855404,1.7542728,-2.1977785,-1.9809109,-1.0468796,-2.4328237,1.0952637,-1.7499261,-2.1606536,0.6225749,-0.44521397,1.1340997,-3.789292,-2.408766,-2.4401417,-0.94200075,3.4655728,3.4909804,2.3727553,6.634911,1.9749582,1.993216,0.34053105,0.3305345,1.2165596,1.148183,0.65463215,-0.10513782,0.28630406,1.0796288,137.12016,59.64769,26.33369,18.605745,16.94395,13.817869,12.589951,5.5365458,7.2677054,10.211496,6.758082,5.339041,6.9784846,6.746327,6.4050665,7.3273287,5.450569,4.8132854,5.898359,4.06864,4.7985597,7.073425,6.621779,4.727438,6.7452188,7.158244,7.7137427,9.101823,11.508536,12.104032,7.7551017,8.211035,6.658524,6.2385945,5.8782535,5.0696974,4.3342266,3.6951046,3.0701635,4.000123,-1.207375,-1.2240988,-0.47472224,-0.27977413,-0.2923512,-0.15905297,-0.053786702,0.028484238,0.03101009,-0.04012837,-0.011719486,0.046190355,0.036287908,-0.035714462,-0.1259442,-0.15101847,-0.1514872,-0.11058619,0.0050959005,0.03650392,-0.0111888675,0.007312649,0.029731939,-0.003736548,-0.028976161,0.012758367,0.067079216,0.032703623,0.02009914,0.021467503,-0.044544462,-0.07068859,-0.06071819,-0.04419278,-0.06666746,-0.11496964,-0.075968504,-0.026684817,-0.007433886,0.018585872,14.47523,5.8796835,4.100268,2.6825273,2.9364738,1.5035717,2.3652253,0.9207506,1.1432768,1.5781488,1.1073253,1.162663,1.1945467,1.3119452,0.9956008,1.198021,1.1412829,0.97011334,1.0074258,0.6643233,1.0030802,0.95970905,1.3632624,0.8516629,1.3950008,1.6108445,1.7796769,1.8477912,2.3425817,2.1689045,1.7671413,1.7198143,1.4589376,1.3146164,0.96338254,0.90430766,0.7536396,0.65234464,0.5228405,0.7439829,0.09098637,0.113007456,1.13089,2.3128126,104.16666666666667,1,naufal_Buka
-0.0035486303,0.06924314,0.0047946125,0.13741546806548718,27.158825819804353,0.069334015,0.02205576795212766,0.02770732474303998,1.7619114,549.374939596534,554.1426397106172,791.5000508495043,765.0933947208126,17.98626010905735,10.337866215968933,1099.900265957447,1176.4173227913748,0.4705519,0.49669594,0.2676902,0.3276703,-416.15497,64.40665,-3.067496,12.273365,10.888574,9.170833,6.2449236,0.48270896,6.7786903,0.8735997,1.4737647,0.6655707,0.26316747,2.1998646,-0.99974334,3.0306683,-1.6300133,2.5465322,-1.0321748,1.0293691,-0.4608535,-0.8874034,-0.25122163,2.0365796,-1.3887365,4.0221066,-1.6661938,1.2560427,-0.7114578,0.12607522,0.12112175,0.8538091,-0.71997315,0.741611,-0.9188278,1.5363775,-0.20263173,0.40455595,-0.56659913,1.9171425,183.02042,62.27002,14.983207,19.094831,14.105041,11.556977,11.37236,9.098579,9.719266,5.564138,5.9149137,4.650927,7.0753446,4.610978,4.1512322,5.6130424,3.6498532,5.153691,4.720832,3.8284538,2.922579,4.325989,4.1122046,3.914444,3.351468,5.4286704,4.602435,3.325674,3.104842,3.4225948,2.889714,4.1377544,3.56395,2.5437963,3.2020333,3.3373032,3.6186173,2.4230561,3.046382,3.2869453,-2.4434483,-0.93500066,-0.16811475,-0.30751216,-0.5012323,-0.016136097,-0.18087728,-0.046332784,-0.26905218,0.045915548,0.014655737,-0.06728489,-0.17833474,0.053220045,-0.057257243,-0.16411786,0.02124202,-0.10500111,0.07054104,-0.02161422,-0.0033548754,-0.010572357,0.021003723,-0.038735665,0.03687011,-0.0337073,0.05748034,-0.074847296,-0.008111653,-0.08202419,0.0561801,-0.06290131,0.020621344,-0.021572424,-0.049758658,0.011384735,-0.035263132,-0.01996817,-0.04725031,-0.05016626,16.225182,4.6706634,3.3576245,2.95788,1.3998543,1.6428698,1.9930754,2.1190932,1.2203318,1.0078548,1.1427038,1.0109484,1.3194363,0.847595,0.7225741,1.0028168,0.5246395,0.9537016,0.72070116,0.82174695,0.44599268,0.66602236,0.86247325,0.77811486,0.62106204,0.73658824,0.80420566,0.51890916,0.56024784,0.58005184,0.50122553,0.53568566,0.6742407,0.5058452,0.5081431,0.6404124,0.469527,0.522776,0.52561635,0.59026414,0.036531452,0.058814965,0.98097897,2.2538743,93.75,1,naufal_Buka
-0.0029726771,0.09028697,0.008151737,-0.0651828423110548,14.8629466833784,0.09033589,0.025577626329787235,0.028193579710740806,1.7458143,510.41278956267786,447.6525740595911,762.9044974523285,624.3280008466443,18.351536332470573,11.268132684175088,1012.6329787234042,958.5690101536238,0.37393045,0.4822191,0.26616314,0.3244392,-378.72522,88.64075,1.8929489,21.689352,2.3245075,9.220871,8.384517,0.30365473,3.268367,0.6916718,0.8553658,0.86397874,-3.867496,0.17232817,-3.4418082,-0.5010006,1.2026263,1.3549588,-1.4224193,-0.18818092,0.4279582,-1.4067997,-1.6381925,-0.42824018,-1.051321,3.3657084,-0.6544742,2.2769794,0.52909744,0.64051664,-0.34136534,1.1102484,-1.1528684,1.0097202,-0.0019942548,1.1937317,0.006194886,0.26504144,-1.2237561,-0.71905184,170.28375,72.15791,17.208624,21.129456,12.64836,9.275537,10.191522,9.487592,6.501904,4.842309,7.175032,5.134949,7.218344,5.0295157,6.3010545,4.2067094,4.2608976,5.308488,4.275522,3.8317268,4.4499426,5.2819986,3.6747508,4.6304574,3.5845194,4.2302594,3.9309967,3.9444041,3.1610823,3.4267907,3.6597636,4.338444,4.095874,3.9648924,2.7987957,2.9196212,2.6496692,4.308827,3.3071847,2.9854352,-1.3213708,-0.91548514,-0.16685973,-0.40421495,-0.25303617,-0.18175699,-0.27189392,-0.059765298,-0.12620118,-0.01873653,-0.016670993,-0.04558921,-0.041224748,0.03935149,-0.060211476,-0.059302144,-0.0026974373,0.006565964,0.016517662,-0.008760529,-0.0016001691,-0.0047397474,0.003433017,-0.010710232,-0.009508308,-0.110183634,-0.045195185,0.011965153,-0.046497945,-0.1383042,-0.05961974,-0.06426925,-0.07032543,-0.11594351,-0.02688555,-0.028512353,-0.052201465,-0.0774246,-0.0055730445,-0.04712517,16.3301,5.9341793,3.1425412,2.642144,2.2392259,1.2354951,1.6457398,1.6897746,1.2603333,0.9330863,1.2690412,0.98555046,1.0127283,1.2327764,1.079375,0.6881384,0.8001816,1.0547872,0.9651396,0.7161064,0.91029614,1.1116569,0.6674788,0.92242724,0.69478446,0.752645,0.6715664,0.7107282,0.5792774,0.6572748,0.67651534,0.9219659,0.7124438,0.77301425,0.51102155,0.4504703,0.46487895,0.7413822,0.49669483,0.55628026,0.054518234,0.0718793,1.0380288,2.0784512,144.23076923076923,1,naufal_Buka
-0.0010540446,0.09407821,0.0088507105,0.3012634103647211,14.986265295649162,0.09408412,0.02026886635638298,0.027079384970457306,1.9994192,473.5614264049603,477.75312202373357,665.3111892850798,637.2987297356412,20.112217610960037,10.121218906965389,769.6143617021277,822.1434612124293,0.46893433,0.49819142,0.16679233,0.27218613,-403.5649,71.04926,1.5595628,-0.51279366,-8.053365,6.1899366,9.233374,-4.4298825,-2.6837034,1.5679275,-2.858672,2.4382567,-2.1171048,1.7864124,-3.4249275,-1.0598665,-1.118873,0.4348168,-1.6729071,-2.734236,-2.4109027,-1.5115048,0.95937705,-1.0146273,-2.4587905,0.042515125,-3.3939955,-0.260874,1.0540582,1.4692249,7.646844,7.0742316,6.504238,7.6153617,1.3448831,1.9814157,-0.93499464,2.2567096,0.622144,1.6618052,168.18419,67.92893,12.565774,14.356304,19.858355,9.077792,11.298713,10.355726,7.319493,5.043443,5.7559943,6.3368506,4.34974,4.3368278,8.518429,3.8424013,6.098304,5.0795774,4.901433,4.0586925,4.642597,5.302843,4.530407,4.0643125,4.647874,3.9255884,8.141288,4.061821,4.7687416,6.0165396,13.892367,13.433153,13.353609,13.256395,7.5811005,5.9458942,6.5202107,4.2034016,3.1372428,3.9394362,-1.7312287,-1.2592355,-0.036764134,-0.06996893,-0.14179745,-0.23109424,-0.20780407,-0.024849791,-0.036054704,-0.03934536,-0.035615303,-0.093856506,-0.0572774,-0.015287436,-0.08500542,-0.018011441,0.002847433,0.007801627,0.04900095,0.031123672,-0.025741851,-0.038160656,0.0051209508,-0.0056009553,-0.0030866188,-0.071393885,-0.11931694,-0.045646545,-0.035326764,-0.09328335,-0.11675632,-0.11355813,-0.052213673,0.010245475,-0.019199492,-0.021329416,-0.017191045,-0.013134977,0.032934394,0.04154723,17.048458,6.355106,2.4346533,2.5148683,2.7253008,1.1056517,1.4198337,1.5226511,1.2338477,0.9023961,0.9352434,0.8856151,0.7769922,0.7094403,1.2526076,0.79457116,1.3039144,0.92497194,0.779885,0.5597987,0.7288571,0.8530925,0.87904763,0.7933599,0.9578395,0.737036,1.2602454,0.53119415,0.8680354,1.0499207,1.948178,2.0973504,2.2513201,1.9251075,1.5619019,1.2410896,0.96618766,0.7132661,0.43920413,0.6152504,0.05486982,0.076265775,0.94865096,2.2200603,208.33333333333334,1,naufal_Buka
-0.005503252,0.06170146,0.0038070704,0.7208320821635706,30.819032715083274,0.0619464,0.040350731382978726,0.04824167073381168,1.6979433,752.8878666901991,686.4545614694963,948.393067053957,737.2488313087492,20.374615414987883,11.13798507048466,1648.4375,1554.332041985245,0.3440784,0.47128028,0.35745028,0.35503227,-389.1001,76.663956,-2.3086886,23.358284,-6.924914,14.594986,7.6857734,1.7953378,5.2701206,3.830857,1.1675241,2.4524903,-0.34228742,2.1962254,5.6371317,0.43789625,4.548793,1.1216187,-1.3577914,0.42524353,-0.19548075,-0.9332257,-1.0622605,3.552266,-1.415059,4.856905,-1.1215488,1.2051182,0.54395276,-0.48144796,-0.30630764,0.39038464,-2.6301231,2.4318578,0.06680162,2.0060596,0.60499597,0.9338471,1.1439484,1.8048446,164.88437,64.21172,17.150518,22.12155,14.009133,15.311355,11.214385,9.761781,9.179996,7.9172196,9.010636,7.4178905,7.640798,5.091428,8.413739,4.954145,5.8162436,6.936487,4.5484614,2.7196352,3.7506957,5.053005,3.9556024,4.939825,4.8168864,5.875871,3.8366537,4.907364,3.9125226,3.028289,3.0121026,4.1076503,4.0931554,3.305576,4.7934823,4.9010897,3.5175683,4.307011,3.8836105,3.5676804,-1.3912548,-0.8197987,-0.14314601,-0.47070673,-0.12070369,-0.19102855,-0.19793904,0.1582917,-0.047694925,-0.11500984,0.028292108,-0.093368314,-0.07862311,-0.065183535,-0.113427155,-0.112569004,-0.047378104,-0.07032501,0.009163222,0.018922215,-0.028015487,0.028194955,-0.03730173,-0.10851941,-0.10901791,-0.024214892,0.0067015355,-0.06539473,-0.06450789,0.015807493,-0.08019196,-0.0483678,-0.019718492,-0.09363769,-0.01943702,-0.011673932,-0.05335613,-0.06381776,-0.08784754,0.036470547,16.155277,5.800128,3.4143527,2.9495282,1.786315,2.0469306,1.8347694,1.9245296,1.7249202,1.5610136,1.7235907,1.2971284,1.4850376,1.0093337,1.7437363,1.0087482,1.0794735,1.4636867,0.9762961,0.60744923,0.62081176,0.8884608,0.63346773,0.6867988,0.95352435,0.78340167,0.62787515,1.0660452,0.7275079,0.4398905,0.6056458,0.8013405,0.6611882,0.55873835,0.9330914,0.91726166,0.66559684,0.84722275,0.69466966,0.6927244,0.037859462,0.048926596,1.0834744,1.7788091,117.1875,1,naufal_Buka
-0.0056146537,0.06604639,0.004362125,0.18130252931496751,28.386599834479522,0.06628461,0.026216547539893616,0.024755244287050258,1.7968286,715.1885584466706,522.1365476456189,1091.1178316805378,733.026043065592,19.891406574292745,11.150425693739276,1638.380984042553,1255.1845721891787,0.2895784,0.45099473,0.33322224,0.32287228,-362.81912,82.617836,4.6361437,24.336435,4.996318,10.710599,11.985596,0.616201,6.7495728,6.369467,2.7065628,3.09403,-1.4791781,5.570726,0.4228889,3.3424864,-1.1976724,1.5398232,-3.0388174,0.6152269,-5.0504603,-2.0628004,-1.4747759,0.3080948,-2.2770648,2.4908803,-0.105446875,1.803946,0.16026035,1.9749633,-0.5969553,1.7767217,-0.44976574,2.0477176,0.758641,4.0337276,0.932744,2.9062662,0.47698763,2.267251,170.9957,55.45124,12.793889,20.211653,8.659411,11.8016815,11.204613,7.9222293,6.900274,7.220895,7.799188,5.451557,6.79831,5.5396442,4.075201,4.7467084,4.519034,4.5449514,3.9690337,4.0506186,5.54934,4.9112515,4.036692,4.016858,3.2468812,4.006672,3.617897,4.4253826,2.6335738,3.1034174,2.8998342,4.33863,3.5531595,3.446783,3.746234,4.250023,2.927206,3.1694489,3.7322924,3.3654752,-1.8484994,-1.061683,-0.13852198,-0.4772754,-0.21509722,-0.17489028,-0.16786864,-0.06854397,-0.17006154,-0.06487609,-0.052632265,-0.1485511,-0.013491461,-0.020284276,-0.11837584,0.007924181,0.021759119,-0.020685092,0.09686576,0.09122412,0.012512709,0.0007998157,0.007447258,0.09769003,0.055920105,-0.09448715,-0.077443935,-0.06003629,-0.03935541,-0.011315588,0.003067709,-0.06401794,-0.031212833,-0.101100676,-0.08638792,-0.044178475,-0.079029724,-0.060054697,0.029632598,-0.016451329,16.179361,5.515071,2.390291,2.1954114,1.4857602,2.0391943,1.7857372,1.7505381,1.0906632,1.2068795,1.8207116,1.03826,1.0440918,0.7436022,0.6166769,0.79768187,0.79413754,0.7816955,0.69046426,0.7289613,0.82957274,0.78218573,0.7553343,0.94401366,0.50204176,0.77178353,0.54481614,0.966482,0.45597497,0.5630649,0.3917773,0.78101367,0.70907354,0.6988017,0.7243398,0.63049185,0.5401094,0.3121528,0.68278295,0.6365722,0.04338776,0.04999467,1.1344842,2.259999,75.0,1,naufal_Buka
-0.00123331,0.10949936,0.011990109,0.08825753512986187,9.25049668888526,0.1095063,0.02957737699468085,0.030628475315159807,1.8123708,712.6464494212547,643.3399501242276,929.146344441168,718.8821741287131,20.94324419787026,11.487999165568606,1391.4561170212767,1372.7496413324634,0.33267394,0.46814874,0.24612503,0.321517,-358.68118,77.118904,-0.4390602,10.913237,1.6549426,9.749232,6.82419,-2.0446267,1.6087877,5.2082124,1.0736411,5.6540217,-0.96342236,2.6593695,1.256659,-2.505398,0.17910317,-3.33795,-2.386433,0.71008915,-2.0595899,2.9684925,-4.118992,2.1414464,-2.4165876,1.1775593,-1.9482795,-1.8277638,-0.39399263,3.0042534,4.375399,2.7381423,3.9443853,4.0621743,0.6003922,2.395917,0.8766025,2.7346966,-0.32397217,1.9214065,153.5196,59.824287,25.203747,19.300623,13.454039,10.991104,12.979285,9.357656,8.091477,7.9564323,8.063985,8.541832,5.919511,7.0365148,8.090516,6.6786427,4.3532495,6.6565285,5.5427194,7.703662,6.695811,5.9011154,6.532936,6.978323,5.2483244,5.562576,4.5314007,5.1368732,5.981925,9.199127,10.129219,11.585705,7.8518295,8.6087,6.977294,6.539941,4.8417373,5.0142756,3.8884082,5.022698,-2.194826,-0.7549767,0.30587628,-0.03157264,-0.09780648,-0.34081385,-0.0077063376,0.020847863,-0.121686265,-0.11096029,-0.07952543,-0.18205526,0.009203781,-0.17066509,-0.21590243,0.13096803,-0.08670681,-0.003077989,0.023125237,-0.17134975,0.016967084,-0.066777825,-0.017666254,-0.11258902,-0.094504796,-0.020205155,0.00824694,-0.07572505,-0.01798018,0.029213343,-0.082382604,0.09293974,-0.07195773,-0.06483144,-0.026818605,-0.08866383,-0.034666277,-0.08173848,-0.0061435876,-0.07918211,16.821169,5.6513114,4.130043,3.2691696,2.7968597,1.836628,2.238768,1.6391369,1.5411203,1.6534884,1.5789117,1.4449561,1.1651694,1.397158,1.0986595,1.0537735,0.8945425,0.97590756,1.0440044,1.2805241,0.95040953,1.1612978,1.2935668,1.2721306,0.8152682,1.1129569,0.86727667,0.6898116,1.2792764,2.0876625,2.1472557,2.1254592,1.2742052,1.6154025,1.5391171,1.2414361,0.8050613,1.0038975,0.7186997,0.8606364,0.0660199,0.08718027,1.1196576,2.7220938,104.16666666666667,1,naufal_Buka
-0.0050340723,0.08783776,0.0077154725,0.049568041170346154,17.853241209882896,0.087981895,0.02359852892287234,0.02857214509831456,1.6733013,541.334962283181,515.2186876669153,717.0767786725544,654.1731766351775,17.644651335837434,11.003988131303794,1130.568484042553,1091.7889562193945,0.43797025,0.49434146,0.32009345,0.3453569,-359.77963,74.9322,-11.014624,17.50168,0.9657234,9.040605,4.52072,1.7485845,5.2723045,2.9606512,1.5527045,1.9841609,-1.7132685,3.9718168,0.8171434,3.5905414,0.28719112,4.201367,-2.7884808,2.0780709,-1.2681037,-2.5782723,0.1280522,0.14259396,1.1968645,1.5756638,1.976146,1.4778483,1.3422984,-0.15475574,-1.2491149,-0.5877841,-0.6700965,1.491606,2.4111667,1.1948018,-0.2957462,2.5898106,0.08043326,0.9943569,177.57695,70.542564,17.710701,18.4717,11.227701,10.774113,8.420951,8.648191,7.767855,8.135755,8.2844925,6.6616106,7.6313114,4.7730346,5.770322,5.396132,5.2519016,5.9782705,6.4154625,4.456468,2.906619,5.752093,4.1953273,5.023627,2.9545703,4.3809495,3.5500069,4.5770288,3.6019027,3.198753,2.9047863,2.82047,3.7334116,3.3792052,3.7478273,3.5681908,3.1017137,4.3900285,3.139365,3.2149615,-1.3547124,-0.90527034,-0.015838742,-0.32440442,-0.24190696,-0.060263842,-0.03550346,-0.08342804,-0.14054896,-0.06466807,-0.054663375,-0.07119112,-0.082354106,-0.042337403,-0.040726595,-0.030098723,-0.041541297,-0.12919399,-0.10056568,0.053171106,0.07437989,-0.03686295,-0.040551454,0.062538,-0.01266079,-0.16917917,-0.12817897,0.003653506,-0.045066796,-0.040169112,0.07237271,0.012963594,-0.034650523,0.027539311,-0.015027778,-0.09103158,-0.06304587,-0.0003836028,-0.03963118,-0.029713,16.25113,5.9634676,2.9656408,2.2289023,1.9299135,1.3656253,1.483898,1.5992404,1.0072598,1.4662865,1.7582427,1.2249011,1.3773329,0.8047244,0.8860719,0.8827791,1.0801945,0.79485327,0.9501828,0.63569283,0.46549642,0.90957326,0.8402016,0.9499216,0.4880108,0.77367365,0.6325005,0.9974422,0.6065045,0.6063859,0.5881491,0.44380847,0.81881344,0.6660014,0.5276511,0.72006434,0.5949033,0.55109155,0.7120738,0.54889643,0.053039297,0.0700504,0.98318213,1.9910744,110.29411764705883,1,naufal_Buka
-0.0015494742,0.081022866,0.0065647042,0.22035150264547573,25.700056740013807,0.08103768,0.03992478390957447,0.04393996910457638,1.9873986,685.3660152493612,697.3638300112056,922.430680858391,859.2880162139122,18.552890649401757,11.488879037703052,1514.7107712765958,1779.958696529707,0.41753566,0.49049225,0.31765905,0.3542475,-379.0292,70.27289,2.1944947,6.8650913,-1.8424234,7.4908586,11.386306,-1.377483,3.326322,2.268219,-0.30051455,4.978187,-2.0605989,3.5539165,-3.0008762,3.5466578,2.1772177,3.0288515,-1.5305828,0.58701396,-0.8807882,1.0632962,-1.42109,0.44446936,-1.2100321,4.658921,1.5902925,2.3909,-1.1386544,-0.30103523,0.5716671,-1.1953887,-1.2840016,1.8142037,0.15235016,1.878178,-0.35778606,1.0606173,-0.7176041,1.5923561,181.19116,63.34913,16.920185,17.214174,14.946394,10.800827,12.432292,9.04711,8.007566,7.239555,6.827142,7.0983663,8.053756,6.7796583,7.102386,4.5997353,4.4418283,6.428407,5.1886697,4.1128073,6.2009444,6.024044,4.48067,5.126037,3.720277,5.3968263,3.599313,4.5131197,3.0120375,3.2638764,4.633628,3.698868,3.2295172,3.0941494,3.25896,3.2523687,3.4327219,3.8614085,3.7193973,3.9139864,-1.1090305,-1.1078955,-0.03468046,-0.4074832,-0.072704405,-0.17893651,-0.1670634,-0.014487252,-0.115148745,-0.081734315,-0.2036069,-0.10786802,-0.1330079,-0.059491154,-0.06669709,-0.021277595,-0.08222401,-0.084280595,-0.0972023,-0.0076964814,-0.019223433,-0.014826917,-0.049404927,-0.018480532,-0.110015444,-0.005196427,-0.06733859,-0.06181723,-0.025834166,-0.07647576,-0.054135196,-0.0012700228,-0.016735382,0.015048844,-0.06872545,-0.05681839,-0.025321407,-0.06632928,-0.020163741,-0.05091361,17.725624,6.134076,2.7018726,2.7488513,2.7351954,1.568656,1.5987538,1.519024,1.4305795,1.2685858,1.4555774,1.141156,1.2131984,1.550036,1.0157143,0.7761347,0.64038205,1.1963902,1.0397633,1.0013971,1.1505505,1.323985,1.053773,1.0504427,0.6500161,0.7945284,0.53100497,0.71407074,0.66870743,0.50358814,0.88222843,0.61001754,0.51390886,0.5431625,0.5932986,0.4862111,0.71313065,0.77322733,0.76085615,0.76701474,0.04653482,0.06621292,1.0483835,2.2045927,78.125,1,naufal_Buka
