mean,std,var,skew,kurtosis,rms,zcr,energy_mean,energy_std,amplitude_range,spec_centroid_mean,spec_centroid_std,spec_bandwidth_mean,spec_bandwidth_std,spec_contrast_mean,spec_contrast_std,spec_rolloff_mean,spec_rolloff_std,spec_flatness_mean,spec_flatness_std,chroma_mean,chroma_std,mfcc1_mean,mfcc2_mean,mfcc3_mean,mfcc4_mean,mfcc5_mean,mfcc1_std,mfcc2_std,mfcc3_std,mfcc4_std,mfcc5_std,duration,tempo,onset_rate,autocorr_lag,envelope_mean,envelope_std,label
-0.0042833406,0.10505669,0.011036908,-0.6935339419010913,9.94246985398279,0.105143964,0.02527115192819149,0.011055253,0.03337446,1.8313904,600.5326985780272,451.5897889585914,968.033746909984,635.068095466662,18.422253777391795,5.486386027843471,1123.9195478723404,946.3358006147331,0.2787526,0.4460046,0.3381253,0.34634167,-335.01526,92.02748,6.804273,17.95919,7.266486,150.61948,60.586548,20.40431,18.146652,8.8720045,3.0,110.29411764705883,1.1804322,1,1.1804322,2.4776924,Buka
-0.0014088668,0.14528257,0.021107025,-0.02219182003642278,8.07534091005403,0.1452894,0.03272523271276596,0.021109011,0.056220423,1.7532349,656.7024633540666,499.0706873186869,878.1110966185917,548.0562453854573,19.620653730693544,5.977643111574575,1212.4335106382978,976.0312894281931,0.25692537,0.43510693,0.29842275,0.3425257,-301.63214,95.202354,0.7113518,15.132464,6.644242,137.12045,59.64741,26.33562,18.604534,16.944513,3.0,104.16666666666667,1.1309546,1,1.1309546,2.3128948,Buka
-0.0035563952,0.069243506,0.0047946633,0.13709078755381568,27.15820899274368,0.06933478,0.02205576795212766,0.0048073116,0.025061864,1.7619019,549.4636145310876,554.2307652845469,791.6638956653491,765.2563782280382,16.41559230976637,5.490946628067979,1100.0664893617022,1176.4931590643334,0.4706661,0.49658918,0.2676883,0.32766694,-416.15353,64.40626,-3.0680902,12.272684,10.889211,183.02089,62.269283,14.984013,19.094227,14.105704,3.0,93.75,0.98095506,1,0.98095506,2.2537076,Buka
-0.0029817752,0.09028718,0.008151774,-0.06538993831800731,14.86278718917094,0.0903364,0.025546459441489363,0.008160665,0.030609304,1.7457886,510.64105712173335,447.8550339859423,763.385833163794,624.8515198895396,16.26830405863132,5.527825695272397,1013.3809840425532,959.468490925515,0.37401584,0.48215377,0.2661562,0.32442468,-378.7237,88.6378,1.8958279,21.685928,2.3271286,170.28459,72.15617,17.208334,21.125862,12.650901,3.0,144.23076923076923,1.0381006,1,1.0381006,2.0785024,Buka
-0.0010618515,0.094078325,0.008850731,0.3010226751689341,14.986005690521537,0.094084315,0.02026886635638298,0.008851858,0.03331006,1.9993896,473.6614349684145,477.8134420660457,665.5990401429159,637.553670480184,18.508858523137963,5.6605933564242035,769.8636968085107,822.3179204525688,0.46896803,0.49815977,0.16679251,0.2721867,-403.56573,71.04912,1.5605985,-0.51389307,-8.053317,168.18425,67.928696,12.567668,14.353314,19.858788,3.0,208.33333333333334,0.9486973,1,0.9486973,2.2202165,Buka
-0.005512803,0.061701998,0.0038071368,0.7205318320477367,30.8177709148028,0.06194778,0.040350731382978726,0.0038375277,0.021441076,1.697937,753.0666436637879,686.5249091210349,948.7893207944334,737.5332450392452,18.185158109061344,5.689350365612593,1648.7699468085107,1554.5843022846882,0.3443767,0.47107366,0.35743144,0.35501313,-389.09766,76.66314,-2.3095841,23.356232,-6.9221478,164.88509,64.21216,17.149162,22.11781,14.008948,3.0,117.1875,1.0834103,1,1.0834103,1.7788073,Buka
-0.0056250794,0.06604683,0.0043621836,0.18106749969184935,28.385806287527565,0.06628593,0.026060713098404256,0.0043938244,0.023428079,1.796814,715.3151137632954,522.1579723310115,1091.4545777162573,733.1632588319899,17.79142848641263,5.483072023341111,1638.464095744681,1255.240326809697,0.2897238,0.45090348,0.33321944,0.3228696,-362.8201,82.61862,4.6363077,24.336908,4.9966536,170.99551,55.4517,12.795796,20.211712,8.659524,3.0,75.0,1.1345057,1,1.1345057,2.2600565,Buka
-0.0012432245,0.1094994,0.011990119,0.08810718003079791,9.250440673939055,0.10950646,0.02957737699468085,0.011991665,0.034566697,1.8123474,712.765741380609,643.3913513338815,929.4338961236375,719.0533194077748,18.853247070996055,6.071769412430619,1391.5392287234042,1372.9688063645158,0.33291453,0.46798635,0.24612857,0.32151824,-358.67935,77.11876,-0.44024178,10.915809,1.6532851,153.51875,59.824135,25.203043,19.302832,13.453165,3.0,104.16666666666667,1.1196252,1,1.1196252,2.722138,Buka
-0.0050421976,0.0878382,0.0077155503,0.04932689947837349,17.852882039169423,0.087982796,0.02359852892287234,0.007740973,0.031956367,1.6732788,541.4758588647641,515.3622554226115,717.3924842226342,654.4797814214135,15.93487887747391,6.124293141032199,1130.8178191489362,1092.1477008797235,0.43807295,0.49425218,0.32009837,0.34536037,-359.77908,74.93222,-11.013818,17.500967,0.9661598,177.57732,70.54241,17.70994,18.47095,11.2276535,3.0,110.29411764705883,0.98317605,1,0.98317605,1.9909933,Buka
-0.0015579497,0.08102302,0.00656473,0.22010649699815152,25.699854806538415,0.081038,0.039862450132978726,0.0065671573,0.033007417,1.9873962,685.5458797319253,697.3834165061511,922.8741754919919,859.4935981920605,16.821170866362785,6.4900971300549495,1515.126329787234,1780.1895758212363,0.41768166,0.49037018,0.3176536,0.35423794,-379.0264,70.27097,2.1951427,6.8634944,-1.8419491,181.19218,63.347393,16.918354,17.211937,14.946668,3.0,78.125,1.0483748,1,1.0483748,2.2045317,Buka
