date,feature_index,NO2
2021-05-06 00:00:00+00:00,0,2.7701452988064076e-05
2021-05-07 00:00:00+00:00,0,2.448295056941182e-05
2021-05-09 00:00:00+00:00,0,2.1264448150759563e-05
2021-05-10 00:00:00+00:00,0,2.7264165510132443e-05
2021-05-11 00:00:00+00:00,0,2.1986673800711287e-05
2021-05-05 00:00:00+00:00,0,2.1698474029108183e-05
2021-05-12 00:00:00+00:00,0,2.141027425750508e-05
2021-05-08 00:00:00+00:00,0,1.980681372515392e-05
2021-05-25 00:00:00+00:00,0,2.584420562925516e-05
2021-05-21 00:00:00+00:00,0,2.7458739744664247e-05
2021-05-24 00:00:00+00:00,0,2.907327386007334e-05
2021-05-26 00:00:00+00:00,0,2.6145682568312623e-05
2021-05-22 00:00:00+00:00,0,2.379802041711325e-05
2021-05-28 00:00:00+00:00,0,2.5866775558824884e-05
2021-05-27 00:00:00+00:00,0,2.793553070053652e-05
2021-05-23 00:00:00+00:00,0,3.358064623171231e-05
2020-07-15 00:00:00+00:00,0,3.0586941117386836e-05
2020-07-19 00:00:00+00:00,0,2.7593236003061367e-05
2020-07-20 00:00:00+00:00,0,2.356543882342521e-05
2020-07-14 00:00:00+00:00,0,2.701887547118531e-05
2020-07-16 00:00:00+00:00,0,2.662892490791689e-05
2020-07-18 00:00:00+00:00,0,2.8331643534329487e-05
2020-07-17 00:00:00+00:00,0,1.934600716898179e-05
2020-07-13 00:00:00+00:00,0,2.2466528131796316e-05
2020-06-07 00:00:00+00:00,0,2.5587049094610848e-05
2020-06-10 00:00:00+00:00,0,1.613278868717316e-05
2020-06-09 00:00:00+00:00,0,1.844185302009767e-05
2020-06-04 00:00:00+00:00,0,2.5927462047548037e-05
2020-06-06 00:00:00+00:00,0,1.8114491798438724e-05
2020-06-05 00:00:00+00:00,0,2.546022378737689e-05
2020-06-08 00:00:00+00:00,0,2.184428058171761e-05
2020-06-03 00:00:00+00:00,0,3.10034035506264e-05
2020-06-15 00:00:00+00:00,0,4.016252651953519e-05
2020-06-14 00:00:00+00:00,0,2.6788155613151805e-05
2020-06-13 00:00:00+00:00,0,2.160298314872004e-05
2020-06-16 00:00:00+00:00,0,2.5951273124115283e-05
2020-06-17 00:00:00+00:00,0,2.841878944713648e-05
2020-06-12 00:00:00+00:00,0,2.4052010758168763e-05
2020-06-18 00:00:00+00:00,0,1.9844267626467627e-05
2020-06-11 00:00:00+00:00,0,3.0506891789627844e-05
2020-08-02 00:00:00+00:00,0,2.32757215599122e-05
2020-08-05 00:00:00+00:00,0,2.566767019137236e-05
2020-08-01 00:00:00+00:00,0,2.91756956964188e-05
2020-07-29 00:00:00+00:00,0,2.0530936808427214e-05
2020-07-31 00:00:00+00:00,0,1.666285925239208e-05
2020-08-03 00:00:00+00:00,0,2.6456195579764124e-05
2020-07-30 00:00:00+00:00,0,3.014428042054836e-05
2020-08-04 00:00:00+00:00,0,2.7959883179088745e-05
2020-10-17 00:00:00+00:00,0,2.488823990158077e-05
2020-10-22 00:00:00+00:00,0,2.315349891804627e-05
2020-10-21 00:00:00+00:00,0,1.947644880353685e-05
2020-10-18 00:00:00+00:00,0,1.5799398689027426e-05
2020-10-19 00:00:00+00:00,0,1.2122348574518005e-05
2020-10-20 00:00:00+00:00,0,8.445298460008582e-06
2020-10-23 00:00:00+00:00,0,4.76824834549916e-06
2020-10-24 00:00:00+00:00,0,2.7985955284748343e-05
2020-11-04 00:00:00+00:00,0,2.3564132789033465e-05
2020-11-08 00:00:00+00:00,0,2.7660435080179013e-05
2020-11-02 00:00:00+00:00,0,2.1093664327054284e-05
2020-11-06 00:00:00+00:00,0,1.4526893573929556e-05
2020-11-03 00:00:00+00:00,0,1.88386369776102e-05
2020-11-07 00:00:00+00:00,0,2.315038038129084e-05
2020-11-09 00:00:00+00:00,0,2.2684649854909368e-05
2020-11-05 00:00:00+00:00,0,2.2218919328527892e-05
2020-11-19 00:00:00+00:00,0,2.1753188802146416e-05
2020-11-18 00:00:00+00:00,0,2.1287458275764943e-05
2020-11-20 00:00:00+00:00,0,2.3033827756080423e-05
2020-11-21 00:00:00+00:00,0,2.4780197236395903e-05
2020-11-22 00:00:00+00:00,0,2.6526566716711383e-05
2020-11-25 00:00:00+00:00,0,2.8272936197026867e-05
2020-11-24 00:00:00+00:00,0,3.0019305677342347e-05
2020-11-23 00:00:00+00:00,0,3.176567515765783e-05
2020-12-12 00:00:00+00:00,0,2.962169609261878e-05
2020-12-15 00:00:00+00:00,0,2.747771702757973e-05
2020-12-19 00:00:00+00:00,0,2.533373796254068e-05
2020-12-18 00:00:00+00:00,0,2.3189758897501635e-05
2020-12-13 00:00:00+00:00,0,2.1045779832462588e-05
2020-12-17 00:00:00+00:00,0,1.890180076742354e-05
2020-12-14 00:00:00+00:00,0,1.675782170238449e-05
2020-12-16 00:00:00+00:00,0,1.4613842637345442e-05
2020-12-29 00:00:00+00:00,0,1.906940672569135e-05
2021-01-02 00:00:00+00:00,0,2.352497081403726e-05
2020-12-30 00:00:00+00:00,0,2.798053490238317e-05
2021-01-01 00:00:00+00:00,0,3.243609899072908e-05
2021-01-03 00:00:00+00:00,0,2.8760789518855745e-05
2021-01-04 00:00:00+00:00,0,2.508548004698241e-05
2020-12-28 00:00:00+00:00,0,2.1410170575109078e-05
