date,feature_index,NO2
2021-05-04 00:00:00+00:00,0,
2021-04-28 00:00:00+00:00,0,
2021-04-27 00:00:00+00:00,0,2.9628655283886477e-05
2021-05-02 00:00:00+00:00,0,1.664722185523715e-05
2021-05-03 00:00:00+00:00,0,3.0248892471718136e-05
2021-05-01 00:00:00+00:00,0,3.373625258973334e-05
2021-04-30 00:00:00+00:00,0,3.0537899268286615e-05
2021-04-29 00:00:00+00:00,0,2.7339545946839888e-05
2021-06-04 00:00:00+00:00,0,2.414119262539316e-05
2021-05-30 00:00:00+00:00,0,4.17431374444277e-05
2021-05-31 00:00:00+00:00,0,5.9345082263462245e-05
2021-06-02 00:00:00+00:00,0,4.632971104001626e-05
2021-06-03 00:00:00+00:00,0,1.65298242791323e-05
2021-06-01 00:00:00+00:00,0,2.1469999865075806e-05
2021-05-29 00:00:00+00:00,0,2.6410175451019317e-05
2021-06-05 00:00:00+00:00,0,1.1374606401659548e-05
2021-02-01 00:00:00+00:00,0,1.4983664901332564e-05
2021-01-29 00:00:00+00:00,0,1.859272340100558e-05
2021-02-03 00:00:00+00:00,0,2.2201781900678596e-05
2021-02-05 00:00:00+00:00,0,2.581084040035161e-05
2021-01-30 00:00:00+00:00,0,2.9419898900024627e-05
2021-01-31 00:00:00+00:00,0,3.3028957399697644e-05
2021-02-04 00:00:00+00:00,0,3.663801589937066e-05
2021-02-02 00:00:00+00:00,0,4.200232433504425e-05
2021-03-04 00:00:00+00:00,0,7.498839840991423e-05
2021-03-05 00:00:00+00:00,0,0.0001079744724847842
2021-03-03 00:00:00+00:00,0,9.918217415361141e-05
2021-03-08 00:00:00+00:00,0,9.038987582243863e-05
2021-03-09 00:00:00+00:00,0,8.159757749126584e-05
2021-03-02 00:00:00+00:00,0,7.280527916009305e-05
2021-03-06 00:00:00+00:00,0,6.401298082892026e-05
2021-03-07 00:00:00+00:00,0,5.5220682497747475e-05
2020-06-30 00:00:00+00:00,0,4.642838416657469e-05
2020-06-27 00:00:00+00:00,0,3.76360858354019e-05
2020-07-01 00:00:00+00:00,0,2.407795636827359e-05
2020-06-28 00:00:00+00:00,0,2.875777863664553e-05
2020-07-02 00:00:00+00:00,0,2.2338706003210973e-05
2020-07-03 00:00:00+00:00,0,1.9027095731871668e-05
2020-06-29 00:00:00+00:00,0,2.4763977307884488e-05
2020-07-04 00:00:00+00:00,0,2.200301423727069e-05
2020-07-15 00:00:00+00:00,0,2.3604695343237836e-05
2020-07-19 00:00:00+00:00,0,2.520637644920498e-05
2020-07-20 00:00:00+00:00,0,1.7178945199702866e-05
2020-07-14 00:00:00+00:00,0,1.6988590687105898e-05
2020-07-16 00:00:00+00:00,0,2.4660207145643653e-05
2020-07-18 00:00:00+00:00,0,3.233182360418141e-05
2020-07-17 00:00:00+00:00,0,1.3562336789618712e-05
2020-07-13 00:00:00+00:00,0,1.9717666873475537e-05
2020-08-18 00:00:00+00:00,0,1.7233378457603976e-05
2020-08-19 00:00:00+00:00,0,2.4730671157158213e-05
2020-08-15 00:00:00+00:00,0,2.1643795207637595e-05
2020-08-20 00:00:00+00:00,0,3.420513712626416e-05
2020-08-17 00:00:00+00:00,0,2.9995229851920158e-05
2020-08-14 00:00:00+00:00,0,2.5785322577576156e-05
2020-08-21 00:00:00+00:00,0,2.0008727915410415e-05
