date,feature_index,NO2
2021-05-04T00:00:00.000Z,0,
2021-04-28T00:00:00.000Z,0,
2021-04-27T00:00:00.000Z,0,2.9628655283886474E-5
2021-05-02T00:00:00.000Z,0,1.664722185523715E-5
2021-05-03T00:00:00.000Z,0,3.0248892471718136E-5
2021-05-01T00:00:00.000Z,0,3.373625258973334E-5
2021-04-30T00:00:00.000Z,0,
2021-04-29T00:00:00.000Z,0,
2021-06-04T00:00:00.000Z,0,2.414119262539316E-5
2021-05-30T00:00:00.000Z,0,
2021-05-31T00:00:00.000Z,0,5.9345082263462245E-5
2021-06-02T00:00:00.000Z,0,4.6329711040016264E-5
2021-06-03T00:00:00.000Z,0,1.65298242791323E-5
2021-06-01T00:00:00.000Z,0,
2021-05-29T00:00:00.000Z,0,2.6410175451019313E-5
2021-06-05T00:00:00.000Z,0,1.1374606401659548E-5
2021-02-01T00:00:00.000Z,0,
2021-01-29T00:00:00.000Z,0,
2021-02-03T00:00:00.000Z,0,
2021-02-05T00:00:00.000Z,0,
2021-01-30T00:00:00.000Z,0,
2021-01-31T00:00:00.000Z,0,
2021-02-04T00:00:00.000Z,0,3.663801589937066E-5
2021-02-02T00:00:00.000Z,0,4.200232433504425E-5
2021-03-04T00:00:00.000Z,0,
2021-03-05T00:00:00.000Z,0,1.079744724847842E-4
2021-03-03T00:00:00.000Z,0,
2021-03-08T00:00:00.000Z,0,
2021-03-09T00:00:00.000Z,0,
2021-03-02T00:00:00.000Z,0,
2021-03-06T00:00:00.000Z,0,
2021-03-07T00:00:00.000Z,0,
2020-06-30T00:00:00.000Z,0,
2020-06-27T00:00:00.000Z,0,3.76360858354019E-5
2020-07-01T00:00:00.000Z,0,2.407795636827359E-5
2020-06-28T00:00:00.000Z,0,2.8757778636645526E-5
2020-07-02T00:00:00.000Z,0,2.2338706003210973E-5
2020-07-03T00:00:00.000Z,0,1.9027095731871668E-5
2020-06-29T00:00:00.000Z,0,2.4763977307884488E-5
2020-07-04T00:00:00.000Z,0,2.200301423727069E-5
2020-07-15T00:00:00.000Z,0,
2020-07-19T00:00:00.000Z,0,2.520637644920498E-5
2020-07-20T00:00:00.000Z,0,1.7178945199702866E-5
2020-07-14T00:00:00.000Z,0,1.6988590687105898E-5
2020-07-16T00:00:00.000Z,0,
2020-07-18T00:00:00.000Z,0,3.233182360418141E-5
2020-07-17T00:00:00.000Z,0,1.3562336789618712E-5
2020-07-13T00:00:00.000Z,0,1.9717666873475537E-5
2020-08-18T00:00:00.000Z,0,1.7233378457603976E-5
2020-08-19T00:00:00.000Z,0,2.4730671157158213E-5
